
Channel,RX (MHz),TX (MHz),System,Band Plan,Purpose,Frequency (MHz),Bandwidth,Satellite Name,Satellite Position,Comments,Modulation,Usage
163,243.915,317.015,UHF military,225-328.6 MHz,Military communications,243.915,,UFO 11,,,,
164,243.935,317.035,UHF military,225-328.6 MHz,Military communications,243.935,,UFO 11,,,,
165,243.945,317.045,UHF military,225-328.6 MHz,Military communications,243.945,,UFO 11,,,,
166,243.955,317.055,UHF military,225-328.6 MHz,Military communications,243.955,,UFO 11,,,,
167,243.965,317.065,UHF military,225-328.6 MHz,Military communications,243.965,,UFO 11,,,,
168,243.975,317.075,UHF military,225-328.6 MHz,Military communications,243.975,,UFO 11,,,,
169,243.995,317.095,UHF military,225-328.6 MHz,Military communications,243.995,,FLT 8,,,,
170,244.0,317.1,UHF military,225-328.6 MHz,Military communications,244.0,,FLT 8,,,,
171,244.015,317.115,UHF military,225-328.6 MHz,Military communications,244.015,,UFO 11,,,,
172,244.04,317.23,UHF military,225-328.6 MHz,Military communications,244.04,,UFO 11,,,,
173,244.05,317.24,UHF military,225-328.6 MHz,Military communications,244.05,,UFO 11,,,,
174,244.06,317.21,UHF military,225-328.6 MHz,Military communications,244.06,,UFO 11,,,,
175,244.065,317.165,UHF military,225-328.6 MHz,Military communications,244.065,,UFO 11,,,,
176,244.09,317.19,UHF military,225-328.6 MHz,Military communications,244.09,,FLT 8,,,,
177,244.155,317.255,UHF military,225-328.6 MHz,Military communications,244.155,,UFO 11,,,,
178,244.165,317.265,UHF military,225-328.6 MHz,Military communications,244.165,,UFO 11,,,,
179,244.175,317.275,UHF military,225-328.6 MHz,Military communications,244.175,,UFO 11,,,,
180,244.185,317.285,UHF military,225-328.6 MHz,Military communications,244.185,,UFO 11,,,,
181,244.195,317.295,UHF military,225-328.6 MHz,Military communications,244.195,,UFO 11,,,,
182,244.205,317.305,UHF military,225-328.6 MHz,Military communications,244.205,,UFO 11,,,,
183,244.225,316.775,UHF military,225-328.6 MHz,Military communications,244.225,,UFO 11,,,,
184,244.275,301.025,UHF military,225-328.6 MHz,Military communications,244.275,,,,,,
185,244.975,293.0,UHF military,225-328.6 MHz,Military communications,244.975,,Skynet 4C,,,,
186,245.2,314.45,UHF military,225-328.6 MHz,Military communications,245.2,,UFO 10,,,,
187,245.8,309.41,UHF military,225-328.6 MHz,Military communications,245.8,,Skynet 5C,,,,
188,245.95,313.0,UHF military,225-328.6 MHz,Military communications,245.95,,Skynet 5D,,,,
189,246.7,297.7,UHF military,225-328.6 MHz,Military communications,246.7,,Skynet 4C,,,,
190,248.45,298.95,UHF military,225-328.6 MHz,Military communications,248.45,,Skynet 4C,,,,
191,248.845,302.445,UHF military,225-328.6 MHz,Military communications,248.845,,UFO 11,,,,
192,248.855,302.455,UHF military,225-328.6 MHz,Military communications,248.855,,UFO 11,,,,
193,248.865,302.465,UHF military,225-328.6 MHz,Military communications,248.865,,UFO 11,,,,
194,248.875,302.475,UHF military,225-328.6 MHz,Military communications,248.875,,UFO 11,,,,
195,248.885,302.485,UHF military,225-328.6 MHz,Military communications,248.885,,UFO 11,,,,
196,248.895,302.495,UHF military,225-328.6 MHz,Military communications,248.895,,UFO 11,,,,
197,248.905,302.505,UHF military,225-328.6 MHz,Military communications,248.905,,UFO 11,,,,
198,248.915,302.515,UHF military,225-328.6 MHz,Military communications,248.915,,UFO 11,,,,
199,248.945,302.545,UHF military,225-328.6 MHz,Military communications,248.945,,UFO 11,,,,
200,248.955,302.555,UHF military,225-328.6 MHz,Military communications,248.955,,UFO 11,,,,
201,248.965,302.565,UHF military,225-328.6 MHz,Military communications,248.965,,UFO 11,,,,
202,248.99,302.525,UHF military,225-328.6 MHz,Military communications,248.99,,UFO 11,,,,
203,249.0,302.6,UHF military,225-328.6 MHz,Military communications,249.0,,UFO 11,,,,
204,249.05,302.65,UHF military,225-328.6 MHz,Military communications,249.05,,UFO 11,,,,
205,249.1,302.7,UHF military,225-328.6 MHz,Military communications,249.1,,UFO 11,,,,
206,249.115,302.715,UHF military,225-328.6 MHz,Military communications,249.115,,UFO 10,,,,
207,249.125,302.725,UHF military,225-328.6 MHz,Military communications,249.125,,UFO 10,,,,
208,249.235,302.835,UHF military,225-328.6 MHz,Military communications,249.235,,UFO 11,,,,
209,249.245,302.845,UHF military,225-328.6 MHz,Military communications,249.245,,UFO 11,,,,
210,249.25,302.85,UHF military,225-328.6 MHz,Military communications,249.25,,UFO 11,,,,
211,249.255,302.855,UHF military,225-328.6 MHz,Military communications,249.255,,UFO 11,,,,
212,249.265,302.865,UHF military,225-328.6 MHz,Military communications,249.265,,UFO 11,,,,
213,249.275,302.875,UHF military,225-328.6 MHz,Military communications,249.275,,UFO 11,,,,
214,249.285,302.885,UHF military,225-328.6 MHz,Military communications,249.285,,UFO 11,,,,
215,249.295,302.895,UHF military,225-328.6 MHz,Military communications,249.295,,UFO 11,,,,
216,249.305,302.905,UHF military,225-328.6 MHz,Military communications,249.305,,UFO 11,,,,
217,249.315,302.915,UHF military,225-328.6 MHz,Military communications,249.315,,UFO 11,,,,
218,249.325,302.925,UHF military,225-328.6 MHz,Military communications,249.325,,UFO 11,,,,
219,249.335,302.935,UHF military,225-328.6 MHz,Military communications,249.335,,UFO 11,,,,
220,249.345,302.945,UHF military,225-328.6 MHz,Military communications,249.345,,UFO 11,,,,
221,249.355,302.955,UHF military,225-328.6 MHz,Military communications,249.355,,UFO 11,,,,
222,249.49,312.85,UHF military,225-328.6 MHz,Military communications,249.49,,Skynet 5B,,,,
223,249.53,298.8,UHF military,225-328.6 MHz,Military communications,249.53,,Skynet 5C,,,,
224,249.56,298.76,UHF military,225-328.6 MHz,Military communications,249.56,,Skynet 5B,,,,
225,249.58,298.74,UHF military,225-328.6 MHz,Military communications,249.58,,Skynet 5B,,,,
226,249.8,295.0,UHF military,225-328.6 MHz,Military communications,249.8,,Skynet 4C,,,,
227,250.35,294.875,UHF military,225-328.6 MHz,Military communications,250.35,,,,,,
228,250.7,295.05,UHF military,225-328.6 MHz,Military communications,250.7,,UFO 11,,,,
229,252.2,315.25,UHF military,225-328.6 MHz,Military communications,252.2,,Sicral 1B,,,,
230,252.4,293.275,UHF military,225-328.6 MHz,Military communications,252.4,,Sicral 1B,,,,
231,252.55,293.2,UHF military,225-328.6 MHz,Military communications,252.55,,Sicral 1B,,,,
232,252.625,311.45,UHF military,225-328.6 MHz,Military communications,252.625,,Sicral 1B,,,,
233,252.75,306.3,UHF military,225-328.6 MHz,Military communications,252.75,,Skynet 5B,,,,
234,253.3,307.8,UHF military,225-328.6 MHz,Military communications,253.3,,Skynet 5B,,,,
235,253.6,316.25,UHF military,225-328.6 MHz,Military communications,253.6,,Sicral 2?,,,,
236,253.675,294.425,UHF military,225-328.6 MHz,Military communications,253.675,,,,,,
237,253.725,294.05,UHF military,225-328.6 MHz,Military communications,253.725,,Intelsat 22,,,,
238,253.825,294.05,UHF military,225-328.6 MHz,Military communications,253.825,,Skynet 5C,,,,
239,253.95,312.8,UHF military,225-328.6 MHz,Military communications,253.95,,Skynet 5D,,,,
240,253.975,294.975,UHF military,225-328.6 MHz,Military communications,253.975,,Intelsat 22,,,,
241,254.5,308.1,UHF military,225-328.6 MHz,Military communications,254.5,,Intelsat 22,,,,
242,254.53,308.13,UHF military,225-328.6 MHz,Military communications,254.53,,Intelsat 22,,,,
243,254.625,295.625,UHF military,225-328.6 MHz,Military communications,254.625,,Intelsat 22,,,,
244,254.775,317.825,UHF military,225-328.6 MHz,Military communications,254.775,,,,,,
245,255.1,318.175,UHF military,225-328.6 MHz,Military communications,255.1,,Sicral 2?,,,,
246,255.25,296.25,UHF military,225-328.6 MHz,Military communications,255.25,,UFO 11,,,,
247,255.275,297.4,UHF military,225-328.6 MHz,Military communications,255.275,,,,,,
248,255.65,296.65,UHF military,225-328.6 MHz,Military communications,255.65,,Intelsat 22,,,,
249,255.675,296.675,UHF military,225-328.6 MHz,Military communications,255.675,,Intelsat 22,,,,
250,255.85,296.85,UHF military,225-328.6 MHz,Military communications,255.85,,Intelsat 22,,,,
251,256.975,316.85,UHF military,225-328.6 MHz,Military communications,256.975,,Intelsat 22,,,,
252,257.075,297.45,UHF military,225-328.6 MHz,Military communications,257.075,,,,,,
253,257.14,298.14,UHF military,225-328.6 MHz,Military communications,257.14,,FLT 8,,,,
254,257.175,298.125,UHF military,225-328.6 MHz,Military communications,257.175,,UFO 11,,,,
255,257.19,298.14,UHF military,225-328.6 MHz,Military communications,257.19,,FLT 8,,,,
