Channel,RX (MHz),TX (MHz),System,Band Plan,Purpose,Frequency (MHz),Bandwidth,Satellite Name,Satellite Position,Comments,Modulation,Usage
0,243.625,316.725,UHF military,225-328.6 MHz,Military communications,243.625,36KHz,ComsatBW-2,13.2 East,,Wideband FM/AM,Широкополосные военные/правительственные каналы
1,243.625,300.4,UHF military,225-328.6 MHz,Military communications,243.625,36KHz,ComsatBW-2,13.2 East,,Wideband FM/AM,Широкополосные военные/правительственные каналы
2,243.8,298.2,UHF military,225-328.6 MHz,Military communications,,,,,,,
3,244.135,296.075,UHF FO,Band Plan P,Tactical communications,244.135,5KHz,UFO-7,23.3 West,,Narrowband FM/AM,Тактические голос/данные каналы
4,244.275,300.25,UHF military,225-328.6 MHz,Military communications,,,,,,,
5,245.2,312.85,UHF military,225-328.6 MHz,Military communications,,,,,,,
6,245.8,298.65,UHF military,225-328.6 MHz,Military communications,245.8,35KHz,Skynet 5C,17.8 West,,PSK/FM Mixed,Военные голос/данные (UK/NATO)
7,245.85,314.23,UHF military,225-328.6 MHz,Military communications,245.85,35KHz,Skynet 5A,5.9 East,,PSK/FM Mixed,Военные голос/данные (UK/NATO)
8,245.95,299.4,UHF military,225-328.6 MHz,Military communications,,,,,,,
9,247.45,298.8,UHF military,225-328.6 MHz,Military communications,,,,,,,
10,248.75,306.9,Marisat,B,Tactical voice/data,248.75,36KHz,ComsatBW-2,13.2 East,,Wideband FM/AM,Широкополосные военные/правительственные каналы
11,248.825,294.375,30 kHz Transponder,30K Transponder,30 kHz voice/data transponder,248.825,30KHz,? IOR,,? March 2010,,
12,249.375,316.975,UHF military,225-328.6 MHz,Military communications,249.375,30KHz,?,,IOR March 2010,,
13,249.4,300.975,UHF military,225-328.6 MHz,Military communications,,,,,,,
14,249.45,299.0,UHF military,225-328.6 MHz,Military communications,,,,,,,
15,249.45,312.75,UHF military,225-328.6 MHz,Military communications,,,,,,,
16,249.49,313.95,UHF military,225-328.6 MHz,Military communications,,,,,,,
17,249.53,318.28,UHF military,225-328.6 MHz,Military communications,249.5295,8KHz,Skynet 5A,5.9 East,,PSK/FM Mixed,Военные голос/данные (UK/NATO)
18,249.85,316.25,UHF military,225-328.6 MHz,Military communications,,,,,,,
19,249.85,298.83,UHF military,225-328.6 MHz,Military communications,,,,,,,
20,249.89,300.5,UHF military,225-328.6 MHz,Military communications,,,,,,,
21,249.93,308.75,UHF FO,Q,Tactical communications,,,,,,,
22,250.09,312.6,UHF military,225-328.6 MHz,Military communications,,,,,,,
23,250.9,308.3,UHF FO,Q,Tactical communications,250.9,36KHz,ComsatBW-2,13.2 East,,Wideband FM/AM,Широкополосные военные/правительственные каналы
24,251.275,296.5,30 kHz Transponder,30K Transponder,30 kHz voice/data transponder,,,,,,,
25,251.575,308.45,UHF military,225-328.6 MHz,Military communications,,,,,,,
26,251.6,298.225,UHF military,225-328.6 MHz,Military communications,,,,,,,
27,251.85,292.85,Navy 25 kHz,Navy 25K,Tactical voice/data communications,251.85,25KHz,UFO-10/11,70.0 East,,Narrowband FM/AM,Тактические голос/данные каналы
28,251.9,292.9,FLTSATCOM/Leasat,A/X,Tactical communications,251.9,25KHz,UFO-10/11,70.0 East,,Narrowband FM/AM,Тактические голос/данные каналы
29,251.95,292.95,Navy 25 kHz,Navy 25K,Tactical voice/data communications,251.95,25KHz,UFO-2,28.3 East,,Narrowband FM/AM,Тактические голос/данные каналы
30,252.0,293.1,FLTSATCOM,B,Tactical communications,252.0,30KHz,UFO-10/11,70.0 East,March 2010,Narrowband FM/AM,Тактические голос/данные каналы
