RX (MHz),TX (MHz),System,Band Plan,Purpose
243.625,316.725,UHF military,225-328.6 MHz,Military communications
243.625,300.400,UHF military,225-328.6 MHz,Military communications
243.800,298.200,UHF military,225-328.6 MHz,Military communications
244.135,296.075,UHF FO,Band Plan P,Tactical communications
244.275,300.250,UHF military,225-328.6 MHz,Military communications
245.200,312.850,UHF military,225-328.6 MHz,Military communications
245.800,298.650,UHF military,225-328.6 MHz,Military communications
245.850,314.230,UHF military,225-328.6 MHz,Military communications
245.950,299.400,UHF military,225-328.6 MHz,Military communications
247.450,298.800,UHF military,225-328.6 MHz,Military communications
248.750,306.900,Marisat,B,Tactical voice/data
248.825,294.375,30 kHz Transponder,30K Transponder,30 kHz voice/data transponder
249.375,316.975,UHF military,225-328.6 MHz,Military communications
249.400,300.975,UHF military,225-328.6 MHz,Military communications
249.450,299.000,UHF military,225-328.6 MHz,Military communications
249.450,312.750,UHF military,225-328.6 MHz,Military communications
249.490,313.950,UHF military,225-328.6 MHz,Military communications
249.530,318.280,UHF military,225-328.6 MHz,Military communications
249.850,316.250,UHF military,225-328.6 MHz,Military communications
249.850,298.830,UHF military,225-328.6 MHz,Military communications
249.890,300.500,UHF military,225-328.6 MHz,Military communications
249.930,308.750,UHF FO,Q,Tactical communications
250.090,312.600,UHF military,225-328.6 MHz,Military communications
250.900,308.300,UHF FO,Q,Tactical communications
251.275,296.500,30 kHz Transponder,30K Transponder,30 kHz voice/data transponder
251.575,308.450,UHF military,225-328.6 MHz,Military communications
251.600,298.225,UHF military,225-328.6 MHz,Military communications
251.850,292.850,Navy 25 kHz,Navy 25K,Tactical voice/data communications
251.900,292.900,FLTSATCOM/Leasat,A/X,Tactical communications
251.950,292.950,Navy 25 kHz,Navy 25K,Tactical voice/data communications
252.000,293.100,FLTSATCOM,B,Tactical communications
252.050,293.050,Navy 25 kHz,Navy 25K,Tactical voice/data communications
252.150,293.150,UHF military,225-328.6 MHz,Military communications
252.200,299.150,UHF military,225-328.6 MHz,Military communications
252.400,309.700,UHF FO,Q,Tactical communications
252.450,309.750,UHF military,225-328.6 MHz,Military communications
252.500,309.800,UHF military,225-328.6 MHz,Military communications
252.550,309.850,UHF military,225-328.6 MHz,Military communications
252.625,309.925,UHF military,225-328.6 MHz,Military communications
253.550,294.550,UHF military,225-328.6 MHz,Military communications
253.600,295.950,UHF military,225-328.6 MHz,Military communications
253.650,294.650,Navy 25 kHz,Navy 25K,Tactical voice/data communications
253.700,294.700,FLTSATCOM/Leasat/UHF FO,A/X/O,Tactical communications
253.750,294.750,UHF military,225-328.6 MHz,Military communications
253.800,296.000,UHF military,225-328.6 MHz,Military communications
253.850,294.850,Navy 25 kHz,Navy 25K,Tactical voice/data communications
253.850,294.850,Navy 25 kHz,Navy 25K,Tactical voice/data communications
253.900,307.500,UHF military,225-328.6 MHz,Military communications
254.000,298.630,UHF military,225-328.6 MHz,Military communications
254.730,312.550,UHF military,225-328.6 MHz,Military communications
254.775,310.800,UHF military,225-328.6 MHz,Military communications
254.830,296.200,UHF military,225-328.6 MHz,Military communications
255.250,302.425,UHF military,225-328.6 MHz,Military communications
255.350,296.350,Navy 25 kHz,Navy 25K,Tactical voice/data communications
255.400,296.400,Navy 25 kHz,Navy 25K,Tactical voice/data communications
255.450,296.450,UHF military,225-328.6 MHz,Military communications
255.550,296.550,Navy 25 kHz,Navy 25K,Tactical voice/data communications
255.550,296.550,Navy 25 kHz,Navy 25K,Tactical voice/data communications
255.775,309.300,UHF military,225-328.6 MHz,Military communications
256.450,313.850,UHF military,225-328.6 MHz,Military communications
256.600,305.950,UHF military,225-328.6 MHz,Military communications
256.850,297.850,Navy 25 kHz,Navy 25K,Tactical voice/data communications
256.900,296.100,UHF military,225-328.6 MHz,Military communications
256.950,297.950,UHF military,225-328.6 MHz,Military communications
257.000,297.675,Navy 25 kHz,Navy 25K,Tactical voice/data communications
257.050,298.050,Navy 25 kHz,Navy 25K,Tactical voice/data communications
257.100,295.650,UHF military,225-328.6 MHz,Military communications
257.150,298.150,UHF military,225-328.6 MHz,Military communications
257.200,308.800,UHF military,225-328.6 MHz,Military communications
257.250,309.475,UHF military,225-328.6 MHz,Military communications
257.300,309.725,UHF military,225-328.6 MHz,Military communications
257.350,307.200,UHF military,225-328.6 MHz,Military communications
257.500,311.350,UHF military,225-328.6 MHz,Military communications
257.700,316.150,UHF military,225-328.6 MHz,Military communications
257.775,311.375,UHF military,225-328.6 MHz,Military communications
257.825,297.075,UHF military,225-328.6 MHz,Military communications
257.900,298.000,UHF military,225-328.6 MHz,Military communications
258.150,293.200,UHF military,225-328.6 MHz,Military communications
258.350,299.350,Navy 25 kHz,Navy 25K,Tactical voice/data communications
258.450,299.450,Navy 25 kHz,Navy 25K,Tactical voice/data communications
258.500,299.500,Navy 25 kHz,Navy 25K,Tactical voice/data communications
258.550,299.550,Navy 25 kHz,Navy 25K,Tactical voice/data communications
258.650,299.650,Navy 25 kHz,Navy 25K,Tactical voice/data communications
259.000,317.925,UHF military,225-328.6 MHz,Military communications
259.050,317.975,UHF military,225-328.6 MHz,Military communications
259.975,310.050,UHF military,225-328.6 MHz,Military communications
260.025,310.225,UHF military,225-328.6 MHz,Military communications
260.075,310.275,UHF military,225-328.6 MHz,Military communications
260.125,310.125,UHF military,225-328.6 MHz,Military communications
260.175,310.325,UHF military,225-328.6 MHz,Military communications
260.375,292.975,UHF military,225-328.6 MHz,Military communications
260.425,297.575,UHF military,225-328.6 MHz,Military communications
260.425,294.025,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
260.475,294.075,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
260.525,294.125,UHF military,225-328.6 MHz,Military communications
260.550,296.775,UHF military,225-328.6 MHz,Military communications
260.575,294.175,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
260.625,294.225,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
260.675,294.475,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
260.675,294.275,UHF military,225-328.6 MHz,Military communications
260.725,294.325,UHF military,225-328.6 MHz,Military communications
260.900,313.900,UHF military,225-328.6 MHz,Military communications
261.100,298.380,UHF military,225-328.6 MHz,Military communications
261.100,298.700,UHF military,225-328.6 MHz,Military communications
261.200,294.950,UHF military,225-328.6 MHz,Military communications
262.000,314.200,UHF military,225-328.6 MHz,Military communications
262.040,307.075,UHF military,225-328.6 MHz,Military communications
262.075,306.975,UHF military,225-328.6 MHz,Military communications
262.125,295.725,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
262.175,297.025,UHF military,225-328.6 MHz,Military communications
262.175,295.775,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
262.225,295.825,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
262.275,295.875,UHF military,225-328.6 MHz,Military communications
262.275,300.275,UHF military,225-328.6 MHz,Military communications
262.325,295.925,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
262.375,295.975,UHF military,225-328.6 MHz,Military communications
262.425,296.025,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
263.450,311.400,UHF military,225-328.6 MHz,Military communications
263.500,309.875,UHF military,225-328.6 MHz,Military communications
263.575,297.175,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
263.625,297.225,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
263.675,297.275,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
263.725,297.325,UHF military,225-328.6 MHz,Military communications
263.775,297.375,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
263.825,297.425,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
263.875,297.475,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
263.925,297.525,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
265.250,306.250,UHF military,225-328.6 MHz,Military communications
265.350,306.350,UHF military,225-328.6 MHz,Military communications
265.400,294.425,FLTSATCOM/Leasat,A/X,Tactical communications
265.450,306.450,UHF military,225-328.6 MHz,Military communications
265.500,302.525,UHF military,225-328.6 MHz,Military communications
265.550,306.550,Navy 25 kHz,Navy 25K,Tactical voice/data communications
265.675,306.675,UHF military,225-328.6 MHz,Military communications
265.850,306.850,UHF military,225-328.6 MHz,Military communications
266.750,316.575,UHF military,225-328.6 MHz,Military communications
266.850,307.850,Navy 25 kHz,Navy 25K,Tactical voice/data communications
